Continent,Country,⚠,Visa needed pre-visit?,Duration,Language(s),Currency (:$),Auswärtiges Amt information
Africa,Algeria,⚠,yes,,Arabic,Algerian dinar (100:1.25),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/AlgerienSicherheit_node.html
Africa,Angola,,yes,,Portuguese,Angolan kwanza (96.31:1),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/AngolaSicherheit_node.html
Africa,Burundi,,yes,apparently available at entry (Bujumbara),"French, Kirundi","Burundian franc (1,551:1)",http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/BurundiSicherheit_node.html
Africa,Ethiopia,,yes,"available at entry (Addis Ababa) ($20), 3 months; transfer ticket required","Amharic, English",Ethiopian birr (18.73:1),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/AethiopienSicherheit_node.html
Africa,Kenya,,yes,"available at entry ($50), 12 weeks; transfer ticket required","Swahili, English",Kenyan shilling (100:1.16),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/KeniaSicherheit_node.html
Africa,Lesotho,,no,transfer ticket required,"English, Sotho",Lesotho loti (10.6:1),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/LesothoSicherheit_node.html
Africa,Malawi,,no,90 days,English,Malawian kwacha (423:1),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/MalawiSicherheit_node.html
Africa,Morocco,⚠,no,90 days,"Arabic, Berber","Moroccan dirham (1:0:12)
",http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/MarokkoSicherheit_node.html
Africa,Mozambique,,yes,,Portuguese,Mozambican metical (31:1),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/MosambikSicherheit_node.html
Africa,Namibia,,no,90 days,English,Namibian dollar (1:0.10),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/NamibiaSicherheit_node.html
Africa,Rwanda,,no,,"French, English, Kinyarwanda","Rwandan franc (1,000:1.47)",http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/RuandaSicherheit_node.html
Africa,Senegal,,n/a,available online,French,West African CFA franc (100:0.21),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/SenegalSicherheit_node.html
Africa,Somalia,⚠,n/a,,"Somali, Arabic","Somali shilling (1,199:1)",http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/SomaliaSicherheit_node.html
Africa,South Africa,,no,up to 90 days; transfer ticket required,"Isi Zulu, Isi Xhosa, Afrikaans, Sepedi, English, &c.",South African rand (1:0.10),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/SuedafrikaSicherheit_node.html
Africa,Sudan,⚠,yes,,Arabic,Sudanese pound (1:0.23),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/SudanSicherheit_node.html
Africa,Swaziland,,no,14 days,"English, Swati",Swazi lilangeni (100:9.5),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/SwasilandSicherheit_node.html
Africa,Tanzania,,yes,,"Swahili, English","Tanzanian shilling (1,000:0.62)",http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/TansaniaSicherheit_node.html
Africa,Togo,,n/a,"apparently (!) available at airport, up to 1 week",French,West African CFA franc (100:0.21),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/TogoSicherheit_node.html
Africa,Uganda,,yes,available at entry (Entebbe) ($50),"English, Swahili","Ugandan shilling (1,000:0.41)",http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/UgandaSicherheit_node.html
Africa,Zambia,,n/a,apparently (!) available at entry ($50),English,"Zambian kwacha (5,710:1)",http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/SambiaSicherheit_node.html
"Africa, Asia",Egypt,⚠,no,14 days?,Arabic,Egyptian pound (1:0.14),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/AegyptenSicherheit_node.html
Asia,Afghanistan,,yes,,"Pashto, Farsi",Afghan afghani (10:0.18),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/AfghanistanSicherheit_node.html
Asia,Armenia,,no,180 days,Armenian,"Armenian dram (414:1)
",http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/ArmenienSicherheit_node.html
Asia,Bahrain,,no,14 days,Arabic,Bahraini dinar (1:2.65),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/BahrainSicherheit_node.html
Asia,Bangladesh,,yes,15 days,Bengali,Bangladeshi taka (100:1.29),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/BangladeschSicherheit_node.html
Asia,Bhutan,,yes,,Dzongkha,Bhutanese ngultrum (100:1.64),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/BhutanSicherheit_node.html
Asia,Cambodia,,yes,"available at entry (limited!), 30 days?",Khmer,"Cambodian riel (1,000:0.25)",http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/KambodschaSicherheit.html
Asia,China,,yes,maybe through visaforchina.org?,Mandarin,Renminbi (1:0.16),http://www.auswaertiges-amt.de/DE/Laenderinformationen/00-SiHi/Nodes/ChinaSicherheit_node.html
